Global Adaptabilities™ Conference Tables,Sylvia Foulston,59207,-945.56,280.98,81.98,Prince Edward Island,Tables,0.78
Kensington 7 Outlet MasterPiece Power Center,Michelle Lonsdale,59234,2109.21,177.98,0.99,Prince Edward Island,Appliances,0.56
"Global Deluxe Stacking Chair, Gray",Michelle Lonsdale,59234,11.46,50.98,14.19,Prince Edward Island,Chairs & Chairmats,0.56
Xerox 1885,Cari Schnelling,59395,367.12,48.04,7.23,Prince Edward Island,Paper,0.37
Avery 479,Henry Goldwyn,59558,37.73,2.61,0.5,Prince Edward Island,Labels,0.39
"AT&T Black Trimline Phone, Model 210",Edward Hooks,59585,-110.93,15.99,9.4,Prince Edward Island,Office Machines,0.49
"Fellowes Twister Kit, Gray/Clear, 3/pkg",Brendan Dodson,59651,-196.06,8.04,8.94,Prince Edward Island,Binders and Binder Accessories,0.4
Eldon Pizzaz™ Desk Accessories,Brendan Dodson,59651,-52.92,2.23,4.57,Prince Edward Island,Office Furnishings,0.41
GBC Binding covers,Harold Engle,645,89.45,12.95,4.98,Prince Edward Island,Binders and Binder Accessories,0.4
Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Roy French,769,4.15,115.99,56.14,Prince Edward Island,Office Machines,0.4
Talkabout T8367,Helen Abelman,773,324.93,65.99,8.99,Prince Edward Island,Telephones and Communication,0.56
Logitech Access Keyboard,Guy Armstrong,1187,20.21,15.98,4,Prince Edward Island,Computer Peripherals,0.37
"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Jennifer Braxton,2339,-120.45,140.85,19.99,Prince Edward Island,Storage & Organization,0.73
Newell 336,Giulietta Baptist,3521,28.71,4.28,0.94,Prince Edward Island,Pens & Art Supplies,0.56
"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Jack Lebron,4007,112.36,56.96,13.22,Prince Edward Island,Appliances,0.56
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Jack Lebron,4007,-232.24,279.48,35,Prince Edward Island,Storage & Organization,0.8
GBC DocuBind P100 Manual Binding Machine,Erica Bern,4416,2665.4,165.98,19.99,Prince Edward Island,Binders and Binder Accessories,0.4
Avery 497,Erica Bern,4454,21.42,3.08,0.5,Prince Edward Island,Labels,0.37
SAFCO Folding Chair Trolley,Helen Abelman,5153,1467.82,128.24,12.65,Prince Edward Island,Chairs & Chairmats,
"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Guy Armstrong,5446,44.1,10.98,4.8,Prince Edward Island,Envelopes,0.36
"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Helen Abelman,8131,191.29,29.89,1.99,Prince Edward Island,Computer Peripherals,0.5
Keytronic Designer 104- Key Black Keyboard,Christopher Schild,8994,-580.32,40.48,19.99,Prince Edward Island,Computer Peripherals,0.77
Accessory31,Roy French,9027,458.98,35.99,0.99,Prince Edward Island,Telephones and Communication,0.35
Avanti 4.4 Cu. Ft. Refrigerator,Roy French,9216,-86.68,180.98,55.24,Prince Edward Island,Appliances,0.57
Bush Mission Pointe Library,Jennifer Braxton,9537,-382.38,150.98,66.27,Prince Edward Island,Bookcases,0.65
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Jennifer Braxton,9537,-149.09,3.81,5.44,Prince Edward Island,Binders and Binder Accessories,0.36
Ibico Covers for Plastic or Wire Binding Elements,Joy Smith,9574,-68.98,11.5,7.19,Prince Edward Island,Binders and Binder Accessories,0.4
Boston KS Multi-Size Manual Pencil Sharpener,Evan Minnotte,10435,-14.31,22.99,8.99,Prince Edward Island,Pens & Art Supplies,0.57
"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",Evan Minnotte,10435,-162.24,11.66,7.95,Prince Edward Island,Pens & Art Supplies,0.58
Martin-Yale Premier Letter Opener,Jenna Caffey,10851,-175.13,12.88,4.59,Prince Edward Island,"Scissors, Rulers and Trimmers",0.82
Recycled Premium Regency Composition Covers,Harold Engle,10852,-27.26,15.28,10.91,Prince Edward Island,Binders and Binder Accessories,0.36
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Harold Engle,10852,3030.16,300.98,54.92,Prince Edward Island,Bookcases,0.55
i1000,Harold Engle,11269,354.96,65.99,5.99,Prince Edward Island,Telephones and Communication,0.58
Avery 493,Harold Engle,11269,112.35,4.91,0.5,Prince Edward Island,Labels,0.36
Fellowes Super Stor/Drawer®,Harold Engle,11269,-19.32,27.75,19.99,Prince Edward Island,Storage & Organization,0.67
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Hilary Holden,11362,569.57,110.98,13.99,Prince Edward Island,Office Furnishings,0.69
*Staples* Letter Opener,Hilary Holden,11362,-119.66,2.18,5,Prince Edward Island,"Scissors, Rulers and Trimmers",0.81
Canon PC1060 Personal Laser Copier,Hilary Holden,11362,-690.21,699.99,24.49,Prince Edward Island,Copiers and Fax,0.41
LX 677,Hilary Holden,11362,424.14,110.99,8.99,Prince Edward Island,Telephones and Communication,0.57
Avery Hi-Liter® Fluorescent Desk Style Markers,Christopher Schild,11968,26.09,3.38,0.85,Prince Edward Island,Pens & Art Supplies,0.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Harold Engle,12293,119.64,8.74,1.39,Prince Edward Island,Envelopes,0.38
Acco Suede Grain Vinyl Round Ring Binder,Greg Guthrie,12773,-4.61,2.78,1.49,Prince Edward Island,Binders and Binder Accessories,0.39
Eldon Image Series Black Desk Accessories,Greg Guthrie,12773,-49.6,4.14,6.6,Prince Edward Island,Office Furnishings,0.49
Xerox 213,Greg Guthrie,12773,-77.18,6.48,7.86,Prince Edward Island,Paper,0.37
Newell 342,Greg Guthrie,12773,-50.88,3.28,3.97,Prince Edward Island,Pens & Art Supplies,0.56
"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Guy Armstrong,12934,186.64,9.78,1.39,Prince Edward Island,Envelopes,0.39
Newell 337,Guy Armstrong,12934,-66.35,3.28,3.97,Prince Edward Island,Pens & Art Supplies,0.56
GBC Binding covers,Joy Smith,13120,82.59,12.95,4.98,Prince Edward Island,Binders and Binder Accessories,0.4
GBC Standard Therm-A-Bind Covers,Joy Smith,13120,-17.37,24.92,12.98,Prince Edward Island,Binders and Binder Accessories,0.39
"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Erica Bern,13604,1166.4,83.1,6.13,Prince Edward Island,Computer Peripherals,0.45
