GBC Imprintable Covers,Shirley Schmidt,50692,43.68,10.98,5.14,Quebec,Binders and Binder Accessories,0.36
Bevis 36 x 72 Conference Tables,Shirley Schmidt,50692,-300.85,124.49,51.94,Quebec,Tables,0.63
Office Star Flex Back Scooter Chair with White Frame,Muhammed Yedwab,50725,-89.9,110.98,30,Quebec,Chairs & Chairmats,0.71
Avery 510,Clay Ludtke,50982,35.62,3.75,0.5,Quebec,Labels,0.37
Martin-Yale Premier Letter Opener,Michael Chen,51008,-59.13,12.88,4.59,Quebec,"Scissors, Rulers and Trimmers",0.82
Xerox 1922,Liz Willingham,51463,-18.55,4.98,7.44,Quebec,Paper,0.36
StarTAC Series,Liz Willingham,51463,-147.88,65.99,3.9,Quebec,Telephones and Communication,0.55
Southworth 25% Cotton Linen-Finish Paper & Envelopes,Dorris Love,51943,-53.25,9.06,9.86,Quebec,Paper,0.4
"GBC Laser Imprintable Binding System Covers, Desert Sand",Dorris Love,51943,2.13,14.27,7.27,Quebec,Binders and Binder Accessories,0.38
Avery 508,Dorris Love,51943,66.71,4.91,0.5,Quebec,Labels,0.36
"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Justin MacKendrick,52039,840.46,40.98,1.99,Quebec,Computer Peripherals,0.44
Ibico EB-19 Dual Function Manual Binding System,Dennis Kane,52290,149.5,172.99,19.99,Quebec,Binders and Binder Accessories,0.39
T193,Dennis Kane,52290,185.94,65.99,4.99,Quebec,Telephones and Communication,0.57
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Anne Pryor,52480,173.94,22.72,8.99,Quebec,Office Furnishings,0.44
Gyration Ultra Professional Cordless Optical Suite,Dorris Love,52486,4160.88,300.97,7.18,Quebec,Computer Peripherals,0.48
Kensington 6 Outlet Guardian Standard Surge Protector,Bill Eplett,52519,-29.77,20.48,6.32,Quebec,Appliances,0.58
6120,Bill Eplett,53152,350.36,65.99,8.8,Quebec,Telephones and Communication,0.58
Acco Perma® 2700 Stacking Storage Drawers,Dorris Love,53188,-42.35,29.74,6.64,Quebec,Storage & Organization,0.7
Storex DuraTech Recycled Plastic Frosted Binders,Stewart Visinsky,53223,-10.33,4.24,5.41,Quebec,Binders and Binder Accessories,0.35
Bretford CR4500 Series Slim Rectangular Table,Brenda Bowman,53248,-94.27,348.21,40.19,Quebec,Tables,0.62
Belkin MediaBoard 104- Keyboard,Brenda Bowman,53411,-57.53,27.48,4,Quebec,Computer Peripherals,0.75
Fiskars® Softgrip Scissors,Dorris Love,53668,-10.38,10.98,3.37,Quebec,"Scissors, Rulers and Trimmers",0.57
"Avery® Durable Plastic 1"" Binders",Shirley Schmidt,53730,-144.74,4.54,5.83,Quebec,Binders and Binder Accessories,0.36
Xerox 1887,Jennifer Ferguson,54020,182.63,18.97,5.21,Quebec,Paper,0.37
Xerox 204,Jennifer Ferguson,54020,-140.48,6.48,6.86,Quebec,Paper,0.37
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Kimberly Carter,54368,-48.07,7.64,5.83,Quebec,Paper,0.36
Xerox 1952,Kimberly Carter,54368,-48.55,4.98,5.49,Quebec,Paper,0.38
KF 788,Kimberly Carter,54368,383.09,45.99,4.99,Quebec,Telephones and Communication,0.56
Hon 4-Shelf Metal Bookcases,Liz Willingham,54721,151.09,100.98,26.22,Quebec,Bookcases,0.6
Avery 508,Brian Thompson,55013,3.14,4.91,0.5,Quebec,Labels,0.36
