"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Jonathan Doherty,69,511.69,30.93,3.92,Saskachewan,Office Furnishings,0.44
Newell 308,Jonathan Doherty,69,0.35,1.68,0.7,Saskachewan,Pens & Art Supplies,0.6
VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Frank Gastineau,324,667.33,179.99,13.99,Saskachewan,Telephones and Communication,0.57
Fellowes Binding Cases,Janet Lee,1317,39.42,11.7,5.63,Saskachewan,Binders and Binder Accessories,0.4
Xerox 1922,Janet Lee,1317,-186.73,4.98,7.44,Saskachewan,Paper,0.36
Xerox 1981,Janet Lee,1317,-76.64,5.28,5.57,Saskachewan,Paper,0.4
Nu-Dell Executive Frame,Rick Wilson,1604,128.88,12.64,4.98,Saskachewan,Office Furnishings,0.48
5165,Jonathan Doherty,2144,1585.48,175.99,4.99,Saskachewan,Telephones and Communication,0.59
"Acme® 8"" Straight Scissors",Lycoris Saunders,2757,84.38,12.98,3.14,Saskachewan,"Scissors, Rulers and Trimmers",0.6
Wilson Jones Suede Grain Vinyl Binders,Maxwell Schwartz,3012,10.5,2.78,1.49,Saskachewan,Binders and Binder Accessories,0.36
Grip Seal Envelopes,Liz Carlisle,3169,-19.95,4.42,4.99,Saskachewan,Envelopes,0.38
Avery 508,Neil Knudson,3331,73.16,4.91,0.5,Saskachewan,Labels,0.36
Avery Poly Binder Pockets,Denise Monton,3650,-128.59,3.58,5.47,Saskachewan,Binders and Binder Accessories,0.37
Hon Multipurpose Stacking Arm Chairs,Denise Monton,3650,166.44,216.6,64.2,Saskachewan,Chairs & Chairmats,0.59
"Imation Neon Mac Format Diskettes, 10/Pack",Jonathan Doherty,3783,-40.25,8.12,2.83,Saskachewan,Computer Peripherals,0.77
Xerox 227,Jonathan Doherty,3783,-200.63,6.48,8.73,Saskachewan,Paper,0.37
Novimex Turbo Task Chair,Maxwell Schwartz,4583,-720.2,70.98,30,Saskachewan,Chairs & Chairmats,0.73
4009® Highlighters by Sanford,Rick Wilson,4675,-1.15,3.98,0.7,Saskachewan,Pens & Art Supplies,0.52
i270,Neil Knudson,4772,214.29,65.99,8.99,Saskachewan,Telephones and Communication,0.55
Belkin 8 Outlet Surge Protector,Lycoris Saunders,5217,27.88,40.98,5.33,Saskachewan,Appliances,0.57
Avery 481,Lycoris Saunders,5217,4.08,3.08,0.99,Saskachewan,Labels,0.37
Xerox 1880,Jonathan Doherty,5765,9.06,35.44,19.99,Saskachewan,Paper,0.38
Super Decoflex Portable Personal File,Jonathan Doherty,6339,-50.84,14.98,7.69,Saskachewan,Storage & Organization,0.57
3M Organizer Strips,Kelly Collister,6848,-125.44,5.4,7.78,Saskachewan,Binders and Binder Accessories,0.37
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Maxwell Schwartz,7782,310.93,60.97,4.5,Saskachewan,Appliances,0.56
Recycled Steel Personal File for Standard File Folders,Neil Knudson,7941,801.04,55.29,5.08,Saskachewan,Storage & Organization,0.59
