"Executive Impressions 13"" Chairman Wall Clock",Xylona Price,36896,69.31,25.38,8.99,Ontario,Office Furnishings,0.5
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Xylona Price,36896,-546.98,167.27,35,Ontario,Storage & Organization,0.85
Anderson Hickey Conga Table Tops & Accessories,Lena Radford,37123,11.65,15.23,27.75,Ontario,Tables,0.76
Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Jas O'Carroll,37572,2.42,5.34,2.99,Ontario,Binders and Binder Accessories,0.38
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty™ Dirt Cup,Alejandro Grove,37669,2485.54,232.58,19.99,Ontario,Appliances,0.59
Quality Park Security Envelopes,Alejandro Grove,37669,402.37,26.17,1.39,Ontario,Envelopes,0.38
Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Alejandro Grove,37669,-30.63,15.31,8.78,Ontario,Storage & Organization,0.57
Hanging Personal Folder File,Mick Hernandez,38117,-128.89,15.7,11.25,Ontario,Storage & Organization,0.6
Xerox 1922,Ben Ferrer,38210,-49.53,4.98,7.44,Ontario,Paper,0.36
Hon Olson Stacker Stools,Todd Sumrall,38274,0.98,140.81,24.49,Ontario,Chairs & Chairmats,0.57
"Trav-L-File Heavy-Duty Shuttle II, Black",Todd Sumrall,38274,23.7,43.57,16.36,Ontario,Storage & Organization,0.55
Accessory2,Todd Sumrall,38274,-33.79,55.99,1.25,Ontario,Telephones and Communication,0.55
"Adams ""While You Were Out"" Message Pads",Sean O'Donnell,38370,43.05,3.14,1.14,Ontario,Paper,0.4
"Master Giant Foot® Doorstop, Safety Yellow",Laura Armstrong,38405,14.77,7.59,4,Ontario,Office Furnishings,0.42
Xerox 1983,Jane Waco,38466,-43.26,5.98,5.46,Ontario,Paper,0.36
Avery 498,Jane Waco,38466,46.46,2.89,0.5,Ontario,Labels,0.38
Xerox 210,Jane Waco,38466,-53.99,6.48,7.37,Ontario,Paper,0.37
Xerox 1894,Guy Phonely,38501,-29.07,6.48,6.22,Ontario,Paper,0.37
Newell 338,Pamela Coakley,38532,16.51,2.94,0.7,Ontario,Pens & Art Supplies,0.58
Microsoft Multimedia Keyboard,Vivek Grady,38564,-53.4,30.97,4,Ontario,Computer Peripherals,0.74
Avery 506,Vivek Grady,38564,45.93,4.13,0.5,Ontario,Labels,0.39
